ImageId,Label
1,3
2,3
3,3
4,3
5,3
6,3
7,1
8,3
9,3
10,3
11,3
12,3
13,4
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,1
23,3
24,3
25,1
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,1
34,3
35,3
36,3
37,3
38,1
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,0
52,3
53,3
54,3
55,3
56,3
57,1
58,3
59,3
60,3
61,3
62,3
63,5
64,3
65,3
66,4
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,1
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,1
110,3
111,1
112,3
113,3
114,3
115,3
116,3
117,1
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,1
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,1
148,3
149,1
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,1
167,3
168,3
169,1
170,3
171,3
172,3
173,3
174,1
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,1
184,3
185,3
186,3
187,3
188,3
189,1
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,1
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,1
212,3
213,3
214,3
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,1
226,3
227,3
228,0
229,3
230,3
231,3
232,3
233,1
234,3
235,3
236,3
237,3
238,1
239,4
240,3
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,1
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,1
274,3
275,1
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,1
286,3
287,3
288,3
289,3
290,3
291,3
292,1
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,1
301,3
302,3
303,3
304,3
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,3
318,3
319,1
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,1
349,3
350,3
351,3
352,3
353,3
354,3
355,3
356,3
357,3
358,3
359,3
360,3
361,3
362,3
363,1
364,3
365,3
366,3
367,3
368,3
369,3
370,3
371,1
372,3
373,1
374,3
375,3
376,3
377,3
378,1
379,3
380,3
381,3
382,1
383,3
384,3
385,4
386,3
387,3
388,1
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,1
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,1
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,1
427,3
428,3
429,3
430,3
431,3
432,3
433,1
434,3
435,1
436,3
437,3
438,2
439,2
440,2
441,0
442,2
443,2
444,2
445,2
446,2
447,2
448,4
449,2
450,0
451,2
452,0
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,0
463,2
464,2
465,2
466,0
467,2
468,2
469,2
470,2
471,2
472,2
473,0
474,2
475,2
476,2
477,2
478,0
479,2
480,2
481,2
482,2
483,2
484,4
485,2
486,2
487,2
488,4
489,2
490,2
491,0
492,2
493,2
494,2
495,2
496,2
497,0
498,0
499,2
500,2
501,2
502,2
503,0
504,2
505,2
506,4
507,2
508,3
509,4
510,2
511,5
512,2
513,2
514,2
515,2
516,0
517,2
518,2
519,2
520,2
521,2
522,0
523,0
524,2
525,0
526,2
527,2
528,0
529,2
530,2
531,2
532,0
533,2
534,1
535,2
536,2
537,2
538,2
539,2
540,0
541,2
542,0
543,0
544,2
545,2
546,1
547,2
548,2
549,5
550,2
551,2
552,0
553,2
554,2
555,2
556,0
557,0
558,2
559,0
560,2
561,2
562,2
563,2
564,2
565,2
566,0
567,2
568,2
569,2
570,2
571,2
572,2
573,2
574,4
575,2
576,2
577,2
578,2
579,2
580,2
581,0
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,0
590,0
591,0
592,4
593,2
594,2
595,2
596,2
597,0
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,0
612,2
613,0
614,0
